table,change,record_id,field_zero_based,type,old_value,new_value
spellvisual.dbc,record_added,20017,20,uint32_raw,,0
spellvisual.dbc,record_added,20017,21,uint32_raw,,0
spellvisual.dbc,record_added,20017,22,uint32_raw,,0
spellvisual.dbc,record_added,20017,23,uint32_raw,,0
spellvisual.dbc,record_added,20017,24,uint32_raw,,0
spellvisual.dbc,record_added,20017,25,uint32_raw,,0
spellvisual.dbc,record_added,20017,26,uint32_raw,,0
spellvisual.dbc,record_added,20017,27,uint32_raw,,0
spellvisual.dbc,record_added,20017,28,uint32_raw,,0
spellvisual.dbc,record_added,20017,29,uint32_raw,,0
spellvisual.dbc,record_added,20017,30,uint32_raw,,0
spellvisual.dbc,record_added,20017,31,uint32_raw,,0
spellvisual.dbc,record_added,20018,0,uint32_raw,,20018
spellvisual.dbc,record_added,20018,1,uint32_raw,,90053
spellvisual.dbc,record_added,20018,2,uint32_raw,,90048
spellvisual.dbc,record_added,20018,3,uint32_raw,,76
spellvisual.dbc,record_added,20018,4,uint32_raw,,235
spellvisual.dbc,record_added,20018,5,uint32_raw,,0
spellvisual.dbc,record_added,20018,6,uint32_raw,,0
spellvisual.dbc,record_added,20018,7,uint32_raw,,0
spellvisual.dbc,record_added,20018,8,uint32_raw,,0
spellvisual.dbc,record_added,20018,9,uint32_raw,,0
spellvisual.dbc,record_added,20018,10,uint32_raw,,1
spellvisual.dbc,record_added,20018,11,uint32_raw,,0
spellvisual.dbc,record_added,20018,12,uint32_raw,,0
spellvisual.dbc,record_added,20018,13,uint32_raw,,0
spellvisual.dbc,record_added,20018,14,uint32_raw,,0
spellvisual.dbc,record_added,20018,15,uint32_raw,,0
spellvisual.dbc,record_added,20018,16,uint32_raw,,4294967295
spellvisual.dbc,record_added,20018,17,uint32_raw,,0
spellvisual.dbc,record_added,20018,18,uint32_raw,,0
spellvisual.dbc,record_added,20018,19,uint32_raw,,0
spellvisual.dbc,record_added,20018,20,uint32_raw,,0
spellvisual.dbc,record_added,20018,21,uint32_raw,,0
spellvisual.dbc,record_added,20018,22,uint32_raw,,0
spellvisual.dbc,record_added,20018,23,uint32_raw,,0
spellvisual.dbc,record_added,20018,24,uint32_raw,,0
spellvisual.dbc,record_added,20018,25,uint32_raw,,0
spellvisual.dbc,record_added,20018,26,uint32_raw,,0
spellvisual.dbc,record_added,20018,27,uint32_raw,,0
spellvisual.dbc,record_added,20018,28,uint32_raw,,0
spellvisual.dbc,record_added,20018,29,uint32_raw,,0
spellvisual.dbc,record_added,20018,30,uint32_raw,,0
spellvisual.dbc,record_added,20018,31,uint32_raw,,0
spellvisual.dbc,record_added,20019,0,uint32_raw,,20019
spellvisual.dbc,record_added,20019,1,uint32_raw,,0
spellvisual.dbc,record_added,20019,2,uint32_raw,,0
spellvisual.dbc,record_added,20019,3,uint32_raw,,0
spellvisual.dbc,record_added,20019,4,uint32_raw,,90049
spellvisual.dbc,record_added,20019,5,uint32_raw,,0
spellvisual.dbc,record_added,20019,6,uint32_raw,,0
spellvisual.dbc,record_added,20019,7,uint32_raw,,0
spellvisual.dbc,record_added,20019,8,uint32_raw,,0
spellvisual.dbc,record_added,20019,9,uint32_raw,,0
spellvisual.dbc,record_added,20019,10,uint32_raw,,1
spellvisual.dbc,record_added,20019,11,uint32_raw,,0
spellvisual.dbc,record_added,20019,12,uint32_raw,,0
spellvisual.dbc,record_added,20019,13,uint32_raw,,0
spellvisual.dbc,record_added,20019,14,uint32_raw,,0
spellvisual.dbc,record_added,20019,15,uint32_raw,,0
spellvisual.dbc,record_added,20019,16,uint32_raw,,4294967295
spellvisual.dbc,record_added,20019,17,uint32_raw,,0
spellvisual.dbc,record_added,20019,18,uint32_raw,,0
spellvisual.dbc,record_added,20019,19,uint32_raw,,0
spellvisual.dbc,record_added,20019,20,uint32_raw,,0
spellvisual.dbc,record_added,20019,21,uint32_raw,,0
spellvisual.dbc,record_added,20019,22,uint32_raw,,0
spellvisual.dbc,record_added,20019,23,uint32_raw,,0
spellvisual.dbc,record_added,20019,24,uint32_raw,,0
spellvisual.dbc,record_added,20019,25,uint32_raw,,0
spellvisual.dbc,record_added,20019,26,uint32_raw,,0
spellvisual.dbc,record_added,20019,27,uint32_raw,,0
spellvisual.dbc,record_added,20019,28,uint32_raw,,0
spellvisual.dbc,record_added,20019,29,uint32_raw,,0
spellvisual.dbc,record_added,20019,30,uint32_raw,,0
spellvisual.dbc,record_added,20019,31,uint32_raw,,0
spellvisual.dbc,record_added,20020,0,uint32_raw,,20020
spellvisual.dbc,record_added,20020,1,uint32_raw,,0
spellvisual.dbc,record_added,20020,2,uint32_raw,,0
spellvisual.dbc,record_added,20020,3,uint32_raw,,0
spellvisual.dbc,record_added,20020,4,uint32_raw,,90050
spellvisual.dbc,record_added,20020,5,uint32_raw,,0
spellvisual.dbc,record_added,20020,6,uint32_raw,,0
spellvisual.dbc,record_added,20020,7,uint32_raw,,0
spellvisual.dbc,record_added,20020,8,uint32_raw,,0
spellvisual.dbc,record_added,20020,9,uint32_raw,,0
spellvisual.dbc,record_added,20020,10,uint32_raw,,1
spellvisual.dbc,record_added,20020,11,uint32_raw,,0
spellvisual.dbc,record_added,20020,12,uint32_raw,,0
spellvisual.dbc,record_added,20020,13,uint32_raw,,0
spellvisual.dbc,record_added,20020,14,uint32_raw,,0
spellvisual.dbc,record_added,20020,15,uint32_raw,,0
spellvisual.dbc,record_added,20020,16,uint32_raw,,4294967295
spellvisual.dbc,record_added,20020,17,uint32_raw,,0
spellvisual.dbc,record_added,20020,18,uint32_raw,,0
spellvisual.dbc,record_added,20020,19,uint32_raw,,0
spellvisual.dbc,record_added,20020,20,uint32_raw,,0
spellvisual.dbc,record_added,20020,21,uint32_raw,,0
spellvisual.dbc,record_added,20020,22,uint32_raw,,0
spellvisual.dbc,record_added,20020,23,uint32_raw,,0
spellvisual.dbc,record_added,20020,24,uint32_raw,,0
spellvisual.dbc,record_added,20020,25,uint32_raw,,0
spellvisual.dbc,record_added,20020,26,uint32_raw,,0
spellvisual.dbc,record_added,20020,27,uint32_raw,,0
spellvisual.dbc,record_added,20020,28,uint32_raw,,0
spellvisual.dbc,record_added,20020,29,uint32_raw,,0
spellvisual.dbc,record_added,20020,30,uint32_raw,,0
spellvisual.dbc,record_added,20020,31,uint32_raw,,0
spellvisualeffectname.dbc,record_added,9165,0,uint32_raw,,9165
spellvisualeffectname.dbc,record_added,9165,1,utf8,,PW exact white breath fan 75deg x 60yd
spellvisualeffectname.dbc,record_added,9165,2,utf8,,Spells\PW_White_Fan75_60yd_Glowing.mdx
spellvisualeffectname.dbc,record_added,9165,3,uint32_raw,,1065353216
spellvisualeffectname.dbc,record_added,9165,4,uint32_raw,,1065353216
spellvisualeffectname.dbc,record_added,9165,5,uint32_raw,,1065353216
spellvisualeffectname.dbc,record_added,9165,6,uint32_raw,,1065353216
spellvisualeffectname.dbc,record_added,9166,0,uint32_raw,,9166
spellvisualeffectname.dbc,record_added,9166,1,utf8,,PW exact white breath fan 60deg x 60yd
spellvisualeffectname.dbc,record_added,9166,2,utf8,,Spells\PW_White_Fan60_60yd_Glowing.mdx
spellvisualeffectname.dbc,record_added,9166,3,uint32_raw,,1065353216
spellvisualeffectname.dbc,record_added,9166,4,uint32_raw,,1065353216
spellvisualeffectname.dbc,record_added,9166,5,uint32_raw,,1065353216
spellvisualeffectname.dbc,record_added,9166,6,uint32_raw,,1065353216
spellvisualeffectname.dbc,record_added,9167,0,uint32_raw,,9167
spellvisualeffectname.dbc,record_added,9167,1,utf8,,PW exact white flame strip 6yd wide x 5yd long
spellvisualeffectname.dbc,record_added,9167,2,utf8,,Spells\PW_White_6yd_Strip_GlowingX.mdx
spellvisualeffectname.dbc,record_added,9167,3,uint32_raw,,1065353216
spellvisualeffectname.dbc,record_added,9167,4,uint32_raw,,1065765770
spellvisualeffectname.dbc,record_added,9167,5,uint32_raw,,1065765770
spellvisualeffectname.dbc,record_added,9167,6,uint32_raw,,1065765770
spellvisualeffectname.dbc,record_added,9168,0,uint32_raw,,9168
spellvisualeffectname.dbc,record_added,9168,1,utf8,,PW exact white flame circle 6yd diameter
spellvisualeffectname.dbc,record_added,9168,2,utf8,,Spells\PW_White_6yd_Circle_Glowing.mdx
spellvisualeffectname.dbc,record_added,9168,3,uint32_raw,,1065353216
spellvisualeffectname.dbc,record_added,9168,4,uint32_raw,,1065765770
spellvisualeffectname.dbc,record_added,9168,5,uint32_raw,,1065765770
spellvisualeffectname.dbc,record_added,9168,6,uint32_raw,,1065765770
spellvisualeffectname.dbc,record_added,9169,0,uint32_raw,,9169
spellvisualeffectname.dbc,record_added,9169,1,utf8,,PW exact white breath fan 60deg x 100yd
spellvisualeffectname.dbc,record_added,9169,2,utf8,,Spells\PW_White_Fan60_100y_Glowing.mdx
spellvisualeffectname.dbc,record_added,9169,3,uint32_raw,,1065353216
spellvisualeffectname.dbc,record_added,9169,4,uint32_raw,,1065353216
spellvisualeffectname.dbc,record_added,9169,5,uint32_raw,,1065353216
spellvisualeffectname.dbc,record_added,9169,6,uint32_raw,,1065353216
spellvisualeffectname.dbc,record_added,9170,0,uint32_raw,,9170
spellvisualeffectname.dbc,record_added,9170,1,utf8,,PW exact white breath fan 82deg x 60yd
spellvisualeffectname.dbc,record_added,9170,2,utf8,,Spells\PW_White_Fan82_60yd_Glowing.mdx
spellvisualeffectname.dbc,record_added,9170,3,uint32_raw,,1065353216
spellvisualeffectname.dbc,record_added,9170,4,uint32_raw,,1065353216
spellvisualeffectname.dbc,record_added,9170,5,uint32_raw,,1065353216
spellvisualeffectname.dbc,record_added,9170,6,uint32_raw,,1065353216
spellvisualeffectname.dbc,record_added,9171,0,uint32_raw,,9171
spellvisualeffectname.dbc,record_added,9171,1,utf8,,PW exact white breath fan 60deg x 30yd
spellvisualeffectname.dbc,record_added,9171,2,utf8,,Spells\PW_White_Fan60_30yd_Glowing.mdx
spellvisualeffectname.dbc,record_added,9171,3,uint32_raw,,1065353216
spellvisualeffectname.dbc,record_added,9171,4,uint32_raw,,1065353216
spellvisualeffectname.dbc,record_added,9171,5,uint32_raw,,1065353216
spellvisualeffectname.dbc,record_added,9171,6,uint32_raw,,1065353216
spellvisualeffectname.dbc,record_added,9172,0,uint32_raw,,9172
spellvisualeffectname.dbc,record_added,9172,1,utf8,,PW Coldflame normal-player center boundary 4.5yd
spellvisualeffectname.dbc,record_added,9172,2,utf8,,Spells\PW_Coldflame_Ground.mdx
spellvisualeffectname.dbc,record_added,9172,3,uint32_raw,,1077936128
spellvisualeffectname.dbc,record_added,9172,4,uint32_raw,,1065353216
spellvisualeffectname.dbc,record_added,9172,5,uint32_raw,,1065353216
spellvisualeffectname.dbc,record_added,9172,6,uint32_raw,,1065353216
spellvisualeffectname.dbc,record_added,9173,0,uint32_raw,,9173
spellvisualeffectname.dbc,record_added,9173,1,utf8,,PW Halion PW_HalionMeteor_Ground 3yd radius 45pct glow
spellvisualeffectname.dbc,record_added,9173,2,utf8,,Spells\PW_HalionMeteor_Ground.mdx
spellvisualeffectname.dbc,record_added,9173,3,uint32_raw,,1077936128
spellvisualeffectname.dbc,record_added,9173,4,uint32_raw,,1067030938
spellvisualeffectname.dbc,record_added,9173,5,uint32_raw,,1067030938
spellvisualeffectname.dbc,record_added,9173,6,uint32_raw,,1067030938
spellvisualeffectname.dbc,record_added,9174,0,uint32_raw,,9174
spellvisualeffectname.dbc,record_added,9174,1,utf8,,PW Halion PW_HalionMeteor_Ring 3yd radius 45pct glow
spellvisualeffectname.dbc,record_added,9174,2,utf8,,Spells\PW_HalionMeteor_Ring.mdx
spellvisualeffectname.dbc,record_added,9174,3,uint32_raw,,1077936128
spellvisualeffectname.dbc,record_added,9174,4,uint32_raw,,1067030938
spellvisualeffectname.dbc,record_added,9174,5,uint32_raw,,1067030938
spellvisualeffectname.dbc,record_added,9174,6,uint32_raw,,1067030938
spellvisualeffectname.dbc,record_added,9175,0,uint32_raw,,9175
spellvisualeffectname.dbc,record_added,9175,1,utf8,,PW Rotface Slime Spray room warning
spellvisualeffectname.dbc,record_added,9175,2,utf8,,Spells\PW_Rotface_SlimeSpray_Fan25_Room.mdx
spellvisualeffectname.dbc,record_added,9175,3,uint32_raw,,1065353216
spellvisualeffectname.dbc,record_added,9175,4,uint32_raw,,1065353216
spellvisualeffectname.dbc,record_added,9175,5,uint32_raw,,1065353216
spellvisualeffectname.dbc,record_added,9175,6,uint32_raw,,1065353216
spellvisualkit.dbc,field_changed,13448,14,uint32_raw,6388,9172
spellvisualkit.dbc,record_added,90047,0,uint32_raw,,90047
spellvisualkit.dbc,record_added,90047,1,uint32_raw,,4294967295
spellvisualkit.dbc,record_added,90047,2,uint32_raw,,53
spellvisualkit.dbc,record_added,90047,3,uint32_raw,,0
spellvisualkit.dbc,record_added,90047,4,uint32_raw,,0
spellvisualkit.dbc,record_added,90047,5,uint32_raw,,0
spellvisualkit.dbc,record_added,90047,6,uint32_raw,,0
spellvisualkit.dbc,record_added,90047,7,uint32_raw,,0
spellvisualkit.dbc,record_added,90047,8,uint32_raw,,4901
spellvisualkit.dbc,record_added,90047,9,uint32_raw,,0
spellvisualkit.dbc,record_added,90047,10,uint32_raw,,0
spellvisualkit.dbc,record_added,90047,11,uint32_raw,,0
spellvisualkit.dbc,record_added,90047,12,uint32_raw,,0
spellvisualkit.dbc,record_added,90047,13,uint32_raw,,0
spellvisualkit.dbc,record_added,90047,14,uint32_raw,,0
spellvisualkit.dbc,record_added,90047,15,uint32_raw,,17540
spellvisualkit.dbc,record_added,90047,16,uint32_raw,,0
spellvisualkit.dbc,record_added,90047,17,uint32_raw,,4294967295
spellvisualkit.dbc,record_added,90047,18,uint32_raw,,4294967295
spellvisualkit.dbc,record_added,90047,19,uint32_raw,,4294967295
spellvisualkit.dbc,record_added,90047,20,uint32_raw,,4294967295
spellvisualkit.dbc,record_added,90047,21,uint32_raw,,0
spellvisualkit.dbc,record_added,90047,22,uint32_raw,,0
spellvisualkit.dbc,record_added,90047,23,uint32_raw,,0
spellvisualkit.dbc,record_added,90047,24,uint32_raw,,0
spellvisualkit.dbc,record_added,90047,25,uint32_raw,,0
spellvisualkit.dbc,record_added,90047,26,uint32_raw,,0
spellvisualkit.dbc,record_added,90047,27,uint32_raw,,0
spellvisualkit.dbc,record_added,90047,28,uint32_raw,,0
spellvisualkit.dbc,record_added,90047,29,uint32_raw,,0
spellvisualkit.dbc,record_added,90047,30,uint32_raw,,0
spellvisualkit.dbc,record_added,90047,31,uint32_raw,,0
spellvisualkit.dbc,record_added,90047,32,uint32_raw,,0
spellvisualkit.dbc,record_added,90047,33,uint32_raw,,0
spellvisualkit.dbc,record_added,90047,34,uint32_raw,,0
spellvisualkit.dbc,record_added,90047,35,uint32_raw,,0
spellvisualkit.dbc,record_added,90047,36,uint32_raw,,0
spellvisualkit.dbc,record_added,90047,37,uint32_raw,,0
spellvisualkit.dbc,record_added,90048,0,uint32_raw,,90048
spellvisualkit.dbc,record_added,90048,1,uint32_raw,,4294967295
spellvisualkit.dbc,record_added,90048,2,uint32_raw,,53
spellvisualkit.dbc,record_added,90048,3,uint32_raw,,0
spellvisualkit.dbc,record_added,90048,4,uint32_raw,,0
spellvisualkit.dbc,record_added,90048,5,uint32_raw,,0
spellvisualkit.dbc,record_added,90048,6,uint32_raw,,0
spellvisualkit.dbc,record_added,90048,7,uint32_raw,,0
spellvisualkit.dbc,record_added,90048,8,uint32_raw,,4901
spellvisualkit.dbc,record_added,90048,9,uint32_raw,,0
spellvisualkit.dbc,record_added,90048,10,uint32_raw,,0
spellvisualkit.dbc,record_added,90048,11,uint32_raw,,0
spellvisualkit.dbc,record_added,90048,12,uint32_raw,,0
spellvisualkit.dbc,record_added,90048,13,uint32_raw,,0
spellvisualkit.dbc,record_added,90048,14,uint32_raw,,0
spellvisualkit.dbc,record_added,90048,15,uint32_raw,,17540
spellvisualkit.dbc,record_added,90048,16,uint32_raw,,0
spellvisualkit.dbc,record_added,90048,17,uint32_raw,,4294967295
spellvisualkit.dbc,record_added,90048,18,uint32_raw,,4294967295
spellvisualkit.dbc,record_added,90048,19,uint32_raw,,4294967295
spellvisualkit.dbc,record_added,90048,20,uint32_raw,,4294967295
spellvisualkit.dbc,record_added,90048,21,uint32_raw,,0
spellvisualkit.dbc,record_added,90048,22,uint32_raw,,0
spellvisualkit.dbc,record_added,90048,23,uint32_raw,,0
spellvisualkit.dbc,record_added,90048,24,uint32_raw,,0
spellvisualkit.dbc,record_added,90048,25,uint32_raw,,0
spellvisualkit.dbc,record_added,90048,26,uint32_raw,,0
spellvisualkit.dbc,record_added,90048,27,uint32_raw,,0
spellvisualkit.dbc,record_added,90048,28,uint32_raw,,0
spellvisualkit.dbc,record_added,90048,29,uint32_raw,,0
spellvisualkit.dbc,record_added,90048,30,uint32_raw,,0
spellvisualkit.dbc,record_added,90048,31,uint32_raw,,0
spellvisualkit.dbc,record_added,90048,32,uint32_raw,,0
spellvisualkit.dbc,record_added,90048,33,uint32_raw,,0
spellvisualkit.dbc,record_added,90048,34,uint32_raw,,0
spellvisualkit.dbc,record_added,90048,35,uint32_raw,,0
spellvisualkit.dbc,record_added,90048,36,uint32_raw,,0
spellvisualkit.dbc,record_added,90048,37,uint32_raw,,0
spellvisualkit.dbc,record_added,90049,0,uint32_raw,,90049
spellvisualkit.dbc,record_added,90049,1,uint32_raw,,4294967295
spellvisualkit.dbc,record_added,90049,2,uint32_raw,,4294967295
spellvisualkit.dbc,record_added,90049,3,uint32_raw,,0
spellvisualkit.dbc,record_added,90049,4,uint32_raw,,0
spellvisualkit.dbc,record_added,90049,5,uint32_raw,,9173
spellvisualkit.dbc,record_added,90049,6,uint32_raw,,0
spellvisualkit.dbc,record_added,90049,7,uint32_raw,,0
spellvisualkit.dbc,record_added,90049,8,uint32_raw,,0
spellvisualkit.dbc,record_added,90049,9,uint32_raw,,0
spellvisualkit.dbc,record_added,90049,10,uint32_raw,,0
spellvisualkit.dbc,record_added,90049,11,uint32_raw,,0
spellvisualkit.dbc,record_added,90049,12,uint32_raw,,0
spellvisualkit.dbc,record_added,90049,13,uint32_raw,,0
spellvisualkit.dbc,record_added,90049,14,uint32_raw,,0
spellvisualkit.dbc,record_added,90049,15,uint32_raw,,0
spellvisualkit.dbc,record_added,90049,16,uint32_raw,,0
spellvisualkit.dbc,record_added,90049,17,uint32_raw,,4294967295
spellvisualkit.dbc,record_added,90049,18,uint32_raw,,4294967295
spellvisualkit.dbc,record_added,90049,19,uint32_raw,,4294967295
spellvisualkit.dbc,record_added,90049,20,uint32_raw,,4294967295
spellvisualkit.dbc,record_added,90049,21,uint32_raw,,0
spellvisualkit.dbc,record_added,90049,22,uint32_raw,,0
spellvisualkit.dbc,record_added,90049,23,uint32_raw,,0
spellvisualkit.dbc,record_added,90049,24,uint32_raw,,0
spellvisualkit.dbc,record_added,90049,25,uint32_raw,,0
spellvisualkit.dbc,record_added,90049,26,uint32_raw,,0
spellvisualkit.dbc,record_added,90049,27,uint32_raw,,0
spellvisualkit.dbc,record_added,90049,28,uint32_raw,,0
spellvisualkit.dbc,record_added,90049,29,uint32_raw,,0
spellvisualkit.dbc,record_added,90049,30,uint32_raw,,0
spellvisualkit.dbc,record_added,90049,31,uint32_raw,,0
spellvisualkit.dbc,record_added,90049,32,uint32_raw,,0
spellvisualkit.dbc,record_added,90049,33,uint32_raw,,0
spellvisualkit.dbc,record_added,90049,34,uint32_raw,,0
spellvisualkit.dbc,record_added,90049,35,uint32_raw,,0
spellvisualkit.dbc,record_added,90049,36,uint32_raw,,0
spellvisualkit.dbc,record_added,90049,37,uint32_raw,,0
spellvisualkit.dbc,record_added,90050,0,uint32_raw,,90050
spellvisualkit.dbc,record_added,90050,1,uint32_raw,,4294967295
spellvisualkit.dbc,record_added,90050,2,uint32_raw,,4294967295
spellvisualkit.dbc,record_added,90050,3,uint32_raw,,0
spellvisualkit.dbc,record_added,90050,4,uint32_raw,,0
spellvisualkit.dbc,record_added,90050,5,uint32_raw,,9174
spellvisualkit.dbc,record_added,90050,6,uint32_raw,,0
spellvisualkit.dbc,record_added,90050,7,uint32_raw,,0
spellvisualkit.dbc,record_added,90050,8,uint32_raw,,0
spellvisualkit.dbc,record_added,90050,9,uint32_raw,,0
spellvisualkit.dbc,record_added,90050,10,uint32_raw,,0
spellvisualkit.dbc,record_added,90050,11,uint32_raw,,0
spellvisualkit.dbc,record_added,90050,12,uint32_raw,,0
spellvisualkit.dbc,record_added,90050,13,uint32_raw,,0
spellvisualkit.dbc,record_added,90050,14,uint32_raw,,0
spellvisualkit.dbc,record_added,90050,15,uint32_raw,,0
spellvisualkit.dbc,record_added,90050,16,uint32_raw,,0
spellvisualkit.dbc,record_added,90050,17,uint32_raw,,4294967295
spellvisualkit.dbc,record_added,90050,18,uint32_raw,,4294967295
spellvisualkit.dbc,record_added,90050,19,uint32_raw,,4294967295
spellvisualkit.dbc,record_added,90050,20,uint32_raw,,4294967295
spellvisualkit.dbc,record_added,90050,21,uint32_raw,,0
spellvisualkit.dbc,record_added,90050,22,uint32_raw,,0
spellvisualkit.dbc,record_added,90050,23,uint32_raw,,0
spellvisualkit.dbc,record_added,90050,24,uint32_raw,,0
spellvisualkit.dbc,record_added,90050,25,uint32_raw,,0
spellvisualkit.dbc,record_added,90050,26,uint32_raw,,0
spellvisualkit.dbc,record_added,90050,27,uint32_raw,,0
spellvisualkit.dbc,record_added,90050,28,uint32_raw,,0
spellvisualkit.dbc,record_added,90050,29,uint32_raw,,0
spellvisualkit.dbc,record_added,90050,30,uint32_raw,,0
spellvisualkit.dbc,record_added,90050,31,uint32_raw,,0
spellvisualkit.dbc,record_added,90050,32,uint32_raw,,0
spellvisualkit.dbc,record_added,90050,33,uint32_raw,,0
spellvisualkit.dbc,record_added,90050,34,uint32_raw,,0
spellvisualkit.dbc,record_added,90050,35,uint32_raw,,0
spellvisualkit.dbc,record_added,90050,36,uint32_raw,,0
spellvisualkit.dbc,record_added,90050,37,uint32_raw,,0
spellvisualkit.dbc,record_added,90051,0,uint32_raw,,90051
spellvisualkit.dbc,record_added,90051,1,uint32_raw,,4294967295
spellvisualkit.dbc,record_added,90051,2,uint32_raw,,51
spellvisualkit.dbc,record_added,90051,3,uint32_raw,,0
spellvisualkit.dbc,record_added,90051,4,uint32_raw,,0
spellvisualkit.dbc,record_added,90051,5,uint32_raw,,9166
spellvisualkit.dbc,record_added,90051,6,uint32_raw,,0
spellvisualkit.dbc,record_added,90051,7,uint32_raw,,0
spellvisualkit.dbc,record_added,90051,8,uint32_raw,,0
spellvisualkit.dbc,record_added,90051,9,uint32_raw,,0
spellvisualkit.dbc,record_added,90051,10,uint32_raw,,0
spellvisualkit.dbc,record_added,90051,11,uint32_raw,,287
spellvisualkit.dbc,record_added,90051,12,uint32_raw,,0
spellvisualkit.dbc,record_added,90051,13,uint32_raw,,0
spellvisualkit.dbc,record_added,90051,14,uint32_raw,,0
spellvisualkit.dbc,record_added,90051,15,uint32_raw,,17545
spellvisualkit.dbc,record_added,90051,16,uint32_raw,,0
spellvisualkit.dbc,record_added,90051,17,uint32_raw,,4294967295
spellvisualkit.dbc,record_added,90051,18,uint32_raw,,4294967295
spellvisualkit.dbc,record_added,90051,19,uint32_raw,,4294967295
spellvisualkit.dbc,record_added,90051,20,uint32_raw,,4294967295
